Division Number: 230
Division Date: 23/03/2016

High Speed Rail Bill Report Stage: New Clause 22

Aye Count: 190
Noes Count: 254

Members recorded
Member,Party,Constituency,Vote,Proxy Member
"Lucy Frazer","Conservative","South East Cambridgeshire","No",""
"George Freeman","Conservative","Mid Norfolk","No",""
"Mike Freer","Conservative","Finchley and Golders Green","No",""
"Richard Fuller","Conservative","Bedford","No",""
"Marcus Fysh","Conservative","Yeovil","No",""
"Roger Gale","Conservative","North Thanet","No",""
"Mike Gapes","Labour","Ilford South","Aye",""
"Barry Gardiner","Labour","Brent North","Aye",""
"Edward Garnier","Conservative","Life peer","No",""
"Mark Garnier","Conservative","Wyre Forest","No",""
"David Gauke","Conservative","South West Hertfordshire","No",""
"Stephen Gethins","Scottish National Party","North East Fife","No Vote Recorded",""
"Nusrat Ghani","Conservative","Wealden","No",""
"Nick Gibb","Conservative","Bognor Regis and Littlehampton","No",""
"Patricia Gibson","Scottish National Party","North Ayrshire and Arran","No Vote Recorded",""
"Cheryl Gillan","Conservative","Chesham and Amersham","Aye",""
"Pat Glass","Labour","North West Durham","Aye",""
"John Glen","Conservative","Salisbury","No",""
"Mary Glindon","Labour","North Tyneside","Aye",""
"Roger Godsiff","Labour","Birmingham, Hall Green","No Vote Recorded",""
"Zac Goldsmith","Conservative","Richmond Park","No Vote Recorded",""
"Helen Goodman","Labour","Bishop Auckland","No Vote Recorded",""
"Robert Goodwill","Conservative","Scarborough and Whitby","No",""
"Michael Gove","Conservative","Surrey Heath","No",""
"Patrick Grady","Scottish National Party","Glasgow North","No Vote Recorded",""
"Richard Graham","Conservative","Gloucester","No",""
"Helen Grant","Conservative","Maidstone and The Weald","No",""
"Peter Grant","Scottish National Party","Glenrothes","No Vote Recorded",""
"James Gray","Conservative","North Wiltshire","No Vote Recorded",""
"Neil Gray","Scottish National Party","Airdrie and Shotts","No Vote Recorded",""
"Chris Grayling","Conservative","Epsom and Ewell","No",""
"Chris Green","Conservative","Bolton West","No",""
"Damian Green","Conservative","Ashford","No",""
"Kate Green","Labour","Stretford and Urmston","Aye",""
"Justine Greening","Conservative","Putney","No",""
"Lilian Greenwood","Labour","Nottingham South","Aye",""
"Margaret Greenwood","Labour","Wirral West","Aye",""
"Dominic Grieve","Conservative","Beaconsfield","Aye",""
"Nia Griffith","Labour","Llanelli","Aye",""
"Andrew Griffiths","Conservative","Burton","No",""
"Ben Gummer","Conservative","Ipswich","No",""
"Andrew Gwynne","Labour","Denton and Reddish","No Vote Recorded",""
"Sam Gyimah","Conservative","East Surrey","No",""
"Louise Haigh","Labour","Sheffield, Heeley","No Vote Recorded",""
"Robert Halfon","Conservative","Harlow","No",""
"Luke Hall","Conservative","Thornbury and Yate","No",""
"Fabian Hamilton","Labour","Leeds North East","Aye",""
"Philip Hammond","Conservative","Runnymede and Weybridge","No",""
"Stephen Hammond","Conservative","Wimbledon","No",""
"Matthew Hancock","Conservative","West Suffolk","No",""
"Greg Hands","Conservative","Chelsea and Fulham","No",""
"David Hanson","Labour","Delyn","No Vote Recorded",""
"Harriet Harman","Labour","Camberwell and Peckham","No Vote Recorded",""
"Mark Harper","Conservative","Forest of Dean","No",""
"Richard Harrington","Conservative","Watford","No",""
"Carolyn Harris","Labour","Swansea East","Aye",""
"Rebecca Harris","Conservative","Castle Point","No",""
"Simon Hart","Conservative","Carmarthen West and South Pembrokeshire","No Vote Recorded",""
"Alan Haselhurst","Conservative","Life peer","No",""
"Helen Hayes","Labour","Dulwich and West Norwood","Aye",""
"John Hayes","Conservative","South Holland and The Deepings","No",""
"Sue Hayman","Labour","Workington","Aye",""
"Oliver Heald","Conservative","North East Hertfordshire","No",""
"John Healey","Labour","Wentworth and Dearne","No Vote Recorded",""
"James Heappey","Conservative","Wells","No",""
"Chris Heaton-Harris","Conservative","Daventry","No Vote Recorded",""
"Peter Heaton-Jones","Conservative","North Devon","No",""
"Gordon Henderson","Conservative","Sittingbourne and Sheppey","No",""
"Mark Hendrick","Labour","Preston","No Vote Recorded",""
"Drew Hendry","Scottish National Party","Inverness, Nairn, Badenoch and Strathspey","No Vote Recorded",""
"Stephen Hepburn","Labour","Jarrow","Aye",""
"Nick Herbert","Conservative","Arundel and South Downs","No",""
"Lady Hermon","Independent","North Down","No Vote Recorded",""
"Meg Hillier","Labour","Hackney South and Shoreditch","Aye",""
"Damian Hinds","Conservative","East Hampshire","No",""
"Simon Hoare","Conservative","North Dorset","No",""
"Margaret Hodge","Labour","Barking","No Vote Recorded",""
"Sharon Hodgson","Labour","Washington and Sunderland West","Aye",""
"Kate Hoey","Labour","Vauxhall","Aye",""
"Kate Hollern","Labour","Blackburn","No Vote Recorded",""
"George Hollingbery","Conservative","Meon Valley","No",""
"Kevin Hollinrake","Conservative","Thirsk and Malton","No",""
"Philip Hollobone","Conservative","Kettering","No",""
"Adam Holloway","Conservative","Gravesham","No",""
"Kelvin Hopkins","Labour","Luton North","Aye",""
"Kris Hopkins","Conservative","Keighley","No",""
"Stewart Hosie","Scottish National Party","Dundee East","No Vote Recorded",""
"George Howarth","Labour","Knowsley","Aye",""
"Gerald Howarth","Conservative","Aldershot","No",""
"John Howell","Conservative","Henley","No",""
"Ben Howlett","Conservative","Bath","No",""
"Lindsay Hoyle","Deputy Speaker","Chorley","No Vote Recorded",""
"Nigel Huddleston","Conservative","Mid Worcestershire","No",""
"Jeremy Hunt","Conservative","South West Surrey","No Vote Recorded",""
"Tristram Hunt","Labour","Stoke-on-Trent Central","Aye",""
"Rupa Huq","Labour","Ealing Central and Acton","Aye",""
"Nick Hurd","Conservative","Ruislip, Northwood and Pinner","No Vote Recorded",""
"Imran Hussain","Labour","Bradford East","Aye",""
"Stewart Jackson","Conservative","Peterborough","No",""
"Margot James","Conservative","Stourbridge","No",""
"Dan Jarvis","Labour","Barnsley Central","Aye",""
"Sajid Javid","Conservative","Bromsgrove","No",""
"Ranil Jayawardena","Conservative","North East Hampshire","No",""
"Bernard Jenkin","Conservative","Harwich and North Essex","No",""
"Andrea Jenkyns","Conservative","Morley and Outwood","No",""
"Robert Jenrick","Conservative","Newark","No",""
"Alan Johnson","Labour","Kingston upon Hull West and Hessle","Aye",""
"Boris Johnson","Conservative","Uxbridge and South Ruislip","No Vote Recorded",""
"Diana Johnson","Labour","Kingston upon Hull North","No Vote Recorded",""
"Gareth Johnson","Conservative","Dartford","No",""
"Joseph Johnson","Conservative","Orpington","No",""
"Andrew Jones","Conservative","Harrogate and Knaresborough","No",""
"Gerald Jones","Labour","Merthyr Tydfil and Rhymney","Aye",""
"Graham Jones","Labour","Hyndburn","No Vote Recorded",""
"Helen Jones","Labour","Warrington North","No Vote Recorded",""
"David Jones","Conservative","Clwyd West","No",""
"Kevan Jones","Labour","North Durham","No Vote Recorded",""
"Marcus Jones","Conservative","Nuneaton","No",""
"Susan Elan Jones","Labour","Clwyd South","Aye",""
"Mike Kane","Labour","Wythenshawe and Sale East","No Vote Recorded",""
"Gerald Kaufman","Labour","Manchester, Gorton","Aye",""
"Daniel Kawczynski","Conservative","Shrewsbury and Atcham","No",""
"Barbara Keeley","Labour","Worsley and Eccles South","Aye",""
"Liz Kendall","Labour","Leicester West","Aye",""
"Seema Kennedy","Conservative","South Ribble","No",""
"Danny Kinahan","Ulster Unionist Party","South Antrim","No",""
"Stephen Kinnock","Labour","Aberavon","Aye",""
"Simon Kirby","Conservative","Brighton, Kemptown","No",""
"Julian Knight","Conservative","Solihull","No",""
"Greg Knight","Conservative","East Yorkshire","No",""
"Kwasi Kwarteng","Conservative","Spelthorne","No",""
"Peter Kyle","Labour","Hove","Aye",""
"Eleanor Laing","Deputy Speaker","Epping Forest","No Vote Recorded",""
"Norman Lamb","Liberal Democrat","North Norfolk","Aye",""
"David Lammy","Labour","Tottenham","No Vote Recorded",""
"Mark Lancaster","Conservative","Milton Keynes North","No",""
"Pauline Latham","Conservative","Mid Derbyshire","No",""
"Ian Lavery","Labour","Wansbeck","Aye",""
"Chris Law","Scottish National Party","Dundee West","No Vote Recorded",""
"Andrea Leadsom","Conservative","South Northamptonshire","No Vote Recorded",""
"Phillip Lee","Conservative","Bracknell","No Vote Recorded",""
"Jeremy Lefroy","Conservative","Stafford","Aye",""
"Edward Leigh","Conservative","Gainsborough","No Vote Recorded",""
"Charlotte Leslie","Conservative","Bristol North West","No",""
"Chris Leslie","Labour","Nottingham East","Aye",""
"Oliver Letwin","Conservative","West Dorset","No",""
"Emma Lewell-Buck","Labour","South Shields","Aye",""
"Brandon Lewis","Conservative","Great Yarmouth","No",""
"Clive Lewis","Labour","Norwich South","Aye",""
"Julian Lewis","Conservative","New Forest East","No Vote Recorded",""
"Ivan Lewis","Labour","Bury South","No Vote Recorded",""
"Ian Liddell-Grainger","Conservative","Bridgwater and West Somerset","No Vote Recorded",""
"David Lidington","Conservative","Aylesbury","No Vote Recorded",""
"Peter Lilley","Conservative","Life peer","No",""
"Rebecca Long Bailey","Labour","Salford and Eccles","Aye",""
"Jack Lopresti","Conservative","Filton and Bradley Stoke","No Vote Recorded",""
"Jonathan Lord","Conservative","Woking","No Vote Recorded",""
"Tim Loughton","Conservative","East Worthing and Shoreham","No Vote Recorded",""
"Caroline Lucas","Green Party","Brighton, Pavilion","Aye",""
"Ian C. Lucas","Labour","Wrexham","No Vote Recorded",""
"Karen Lumley","Conservative","Redditch","No",""
"Holly Lynch","Labour","Halifax","No Vote Recorded",""
"Craig Mackinlay","Conservative","South Thanet","No",""
"David Mackintosh","Conservative","Northampton South","No",""
"Angus Brendan MacNeil","Scottish National Party","Na h-Eileanan an Iar","No Vote Recorded",""
"Fiona Mactaggart","Labour","Slough","Aye",""
"Justin Madders","Labour","Ellesmere Port and Neston","Aye",""
"Khalid Mahmood","Labour","Birmingham, Perry Barr","No Vote Recorded",""
"Shabana Mahmood","Labour","Birmingham, Ladywood","Aye",""
"Anne Main","Conservative","St Albans","No Vote Recorded",""
"Alan Mak","Conservative","Havant","No Vote Recorded",""
"Seema Malhotra","Labour","Feltham and Heston","Aye",""
"Kit Malthouse","Conservative","North West Hampshire","No",""
"John Mann","Labour","Bassetlaw","Aye",""
"Scott Mann","Conservative","North Cornwall","No",""
"Rob Marris","Labour","Wolverhampton South West","Aye",""
"Gordon Marsden","Labour","Blackpool South","Aye",""
"Rachael Maskell","Labour","York Central","Aye",""
"Paul Maskey","Sinn F?in","Belfast West","No Vote Recorded",""
"Christian Matheson","Labour","City of Chester","Aye",""
"Tania Mathias","Conservative","Twickenham","No",""
"Theresa May","Conservative","Maidenhead","No",""
"Paul Maynard","Conservative","Blackpool North and Cleveleys","No",""
"Steve McCabe","Labour","Birmingham, Selly Oak","Aye",""
"Kerry McCarthy","Labour","Bristol East","Aye",""
"Jason McCartney","Conservative","Colne Valley","No",""
"Karl McCartney","Conservative","Lincoln","No",""
"Siobhain McDonagh","Labour","Mitcham and Morden","Aye",""
"Andy McDonald","Labour","Middlesbrough","Aye",""
"Stewart Malcolm McDonald","Scottish National Party","Glasgow South","No Vote Recorded",""
"Stuart C. McDonald","Scottish National Party","Cumbernauld, Kilsyth and Kirkintilloch East","No Vote Recorded",""
"Alasdair McDonnell","Social Democratic & Labour Party","Belfast South","Aye",""
"John McDonnell","Labour","Hayes and Harlington","No Vote Recorded",""
"Pat McFadden","Labour","Wolverhampton South East","Aye",""
"Conor McGinn","Labour","St Helens North","Aye",""
"Alison McGovern","Labour","Wirral South","Aye",""
"Liz McInnes","Labour","Heywood and Middleton","Aye",""
"Catherine McKinnell","Labour","Newcastle upon Tyne North","No Vote Recorded",""
"Patrick McLoughlin","Conservative","Derbyshire Dales","No",""
"Jim McMahon","Labour","Oldham West and Royton","No Vote Recorded",""
"John McNally","Scottish National Party","Falkirk","No Vote Recorded",""
"Stephen McPartland","Conservative","Stevenage","No Vote Recorded",""
"Alan Meale","Labour","Mansfield","Aye",""
"Ian Mearns","Labour","Gateshead","Aye",""
"Mark Menzies","Conservative","Fylde","No",""
"Johnny Mercer","Conservative","Plymouth, Moor View","No",""
"Huw Merriman","Conservative","Bexhill and Battle","No",""
"Stephen Metcalfe","Conservative","South Basildon and East Thurrock","No",""
"Edward Miliband","Labour","Doncaster North","No Vote Recorded",""
"Maria Miller","Conservative","Basingstoke","No Vote Recorded",""
"Amanda Milling","Conservative","Cannock Chase","No Vote Recorded",""
"Nigel Mills","Conservative","Amber Valley","No",""
"Anne Milton","Conservative","Guildford","No",""
"Andrew Mitchell","Conservative","Sutton Coldfield","No Vote Recorded",""
"Francie Molloy","Sinn F?in","Mid Ulster","No Vote Recorded",""
"Carol Monaghan","Scottish National Party","Glasgow North West","No Vote Recorded",""
"Madeleine Moon","Labour","Bridgend","Aye",""
"Penny Mordaunt","Conservative","Portsmouth North","No",""
"Jessica Morden","Labour","Newport East","Aye",""
"Nicky Morgan","Conservative","Loughborough","No",""
"Anne Marie Morris","Conservative","Newton Abbot","No",""
"David Morris","Conservative","Morecambe and Lunesdale","No",""
"Grahame Morris","Labour","Easington","Aye",""
"James Morris","Conservative","Halesowen and Rowley Regis","No",""
"Wendy Morton","Conservative","Aldridge-Brownhills","No",""
"David Mowat","Conservative","Warrington South","No",""
"Greg Mulholland","Liberal Democrat","Leeds North West","Aye",""
"David Mundell","Conservative","Dumfriesshire, Clydesdale and Tweeddale","No",""
"Ian Murray","Labour","Edinburgh South","Aye",""
"Sheryll Murray","Conservative","South East Cornwall","No",""
"Andrew Murrison","Conservative","South West Wiltshire","No",""
"Lisa Nandy","Labour","Wigan","Aye",""
"Robert Neill","Conservative","Bromley and Chislehurst","No",""
"Gavin Newlands","Scottish National Party","Paisley and Renfrewshire North","No Vote Recorded",""
"Sarah Newton","Conservative","Truro and Falmouth","Teller - Noes",""
"Caroline Nokes","Conservative","Romsey and Southampton North","No",""
"Jesse Norman","Conservative","Hereford and South Herefordshire","No Vote Recorded",""
"David Nuttall","Conservative","Bury North","Aye",""
"Matthew Offord","Conservative","Hendon","No Vote Recorded",""
"Brendan O'Hara","Scottish National Party","Argyll and Bute","No Vote Recorded",""
"Melanie Onn","Labour","Great Grimsby","Aye",""
"Chi Onwurah","Labour","Newcastle upon Tyne Central","Aye",""
"Guy Opperman","Conservative","Hexham","Teller - Noes",""
"Kate Osamor","Labour","Edmonton","Aye",""
"George Osborne","Conservative","Tatton","No",""
"Albert Owen","Labour","Ynys M?n","Aye",""
"Ian Paisley","Democratic Unionist Party","North Antrim","No Vote Recorded",""
"Neil Parish","Conservative","Tiverton and Honiton","No",""
"Priti Patel","Conservative","Witham","No",""
"Owen Paterson","Conservative","North Shropshire","No Vote Recorded",""
"Mark Pawsey","Conservative","Rugby","No Vote Recorded",""
"Teresa Pearce","Labour","Erith and Thamesmead","Aye",""
"Mike Penning","Conservative","Hemel Hempstead","No Vote Recorded",""
"Matthew Pennycook","Labour","Greenwich and Woolwich","Aye",""
"John Penrose","Conservative","Weston-super-Mare","No",""
"Andrew Percy","Conservative","Brigg and Goole","No Vote Recorded",""
"Toby Perkins","Labour","Chesterfield","No Vote Recorded",""
"Claire Perry","Conservative","Devizes","No",""
"Jess Phillips","Labour","Birmingham, Yardley","Aye",""
"Bridget Phillipson","Labour","Houghton and Sunderland South","No Vote Recorded",""
"Chris Philp","Conservative","Croydon South","No",""
"Eric Pickles","Conservative","Life peer","No Vote Recorded",""
"Christopher Pincher","Conservative","Tamworth","No Vote Recorded",""
"Dr Poulter","Conservative","Central Suffolk and North Ipswich","No",""
"Stephen Pound","Labour","Ealing North","No Vote Recorded",""
"Rebecca Pow","Conservative","Taunton Deane","No",""
"Lucy Powell","Labour","Manchester Central","Aye",""
"Victoria Prentis","Conservative","Banbury","Aye",""
"Mark Prisk","Conservative","Hertford and Stortford","No",""
"Mark Pritchard","Conservative","The Wrekin","No Vote Recorded",""
"John Pugh","Liberal Democrat","Southport","Aye",""
"Tom Pursglove","Conservative","Corby","No",""
"Jeremy Quin","Conservative","Horsham","No Vote Recorded",""
"Will Quince","Conservative","Colchester","No",""
"Yasmin Qureshi","Labour","Bolton South East","Aye",""
"Dominic Raab","Conservative","Esher and Walton","No",""
